Position	Technique	Gi/No-Gi
50/50	Back Step Escape	gi
50/50	Back Step Escape	nogi
50/50	Calf Slicer	gi
50/50	Calf Slicer	nogi
50/50	Heel Hook	gi
50/50	Heel Hook	nogi
50/50	Kneebar	gi
50/50	Kneebar	nogi
50/50	Sweep	gi
50/50	Sweep	nogi
50/50	Toe Hold	gi
50/50	Toe Hold	nogi
Back Control	Arm Trap	gi
Back Control	Arm Trap	nogi
Back Control	Armbar from Back	gi
Back Control	Armbar from Back	nogi
Back Control	Body Triangle	gi
Back Control	Body Triangle	nogi
Back Control	Bow and Arrow Choke	gi
Back Control	Collar Choke	gi
Back Control	Maintaining Back Control	gi
Back Control	Maintaining Back Control	nogi
Back Control	Rear Naked Choke	gi
Back Control	Rear Naked Choke	nogi
Back Control	Seatbelt Control	gi
Back Control	Seatbelt Control	nogi
Back Control	Short Choke	gi
Back Control	Short Choke	nogi
Back Defense	Back to Wall	gi
Back Defense	Back to Wall	nogi
Back Defense	Hand Fighting	gi
Back Defense	Hand Fighting	nogi
Back Defense	Heel Pry	gi
Back Defense	Heel Pry	nogi
Back Defense	Hip Escape to Guard	gi
Back Defense	Hip Escape to Guard	nogi
Back Defense	Shoulder Walk Escape	gi
Back Defense	Shoulder Walk Escape	nogi
Butterfly Guard	Arm Drag	gi
Butterfly Guard	Arm Drag	nogi
Butterfly Guard	Butterfly Sweep	gi
Butterfly Guard	Butterfly Sweep	nogi
Butterfly Guard	Guillotine	gi
Butterfly Guard	Guillotine	nogi
Butterfly Guard	Hook Sweep	gi
Butterfly Guard	Hook Sweep	nogi
Butterfly Guard	Single Leg X Entry	gi
Butterfly Guard	Single Leg X Entry	nogi
Butterfly Guard	Snap Down	gi
Butterfly Guard	Snap Down	nogi
Butterfly Guard	Sumi Gaeshi	gi
Butterfly Guard	X-Guard Entry	gi
Butterfly Guard	X-Guard Entry	nogi
Butterfly Half	Arm Drag	gi
Butterfly Half	Arm Drag	nogi
Butterfly Half	Back Take	gi
Butterfly Half	Back Take	nogi
Butterfly Half	Butterfly Half Sweep	gi
Butterfly Half	Butterfly Half Sweep	nogi
Butterfly Half	Dogfight	gi
Butterfly Half	Dogfight	nogi
Butterfly Half	Elevator Sweep	gi
Butterfly Half	Elevator Sweep	nogi
Butterfly Half	Guillotine	gi
Butterfly Half	Guillotine	nogi
Butterfly Half	Kimura	gi
Butterfly Half	Kimura	nogi
Butterfly Half	Single Leg X Entry	gi
Butterfly Half	Single Leg X Entry	nogi
Butterfly Half	Underhook Sweep	gi
Butterfly Half	Underhook Sweep	nogi
Butterfly Half	X-Guard Entry	gi
Butterfly Half	X-Guard Entry	nogi
Closed Guard Bottom	Armbar	gi
Closed Guard Bottom	Armbar	nogi
Closed Guard Bottom	Back Take from Guard	gi
Closed Guard Bottom	Back Take from Guard	nogi
Closed Guard Bottom	Cross Collar Choke	gi
Closed Guard Bottom	Elevator Sweep	gi
Closed Guard Bottom	Elevator Sweep	nogi
Closed Guard Bottom	Flower Sweep	gi
Closed Guard Bottom	Flower Sweep	nogi
Closed Guard Bottom	Guillotine	gi
Closed Guard Bottom	Guillotine	nogi
Closed Guard Bottom	Hip Bump Sweep	gi
Closed Guard Bottom	Hip Bump Sweep	nogi
Closed Guard Bottom	Kimura	gi
Closed Guard Bottom	Kimura	nogi
Closed Guard Bottom	Lumberjack Sweep	gi
Closed Guard Bottom	Omoplata	gi
Closed Guard Bottom	Omoplata	nogi
Closed Guard Bottom	Scissor Sweep	gi
Closed Guard Bottom	Triangle Choke	gi
Closed Guard Bottom	Triangle Choke	nogi
Closed Guard Top	Can Opener	gi
Closed Guard Top	Can Opener	nogi
Closed Guard Top	Double Underhook Pass	gi
Closed Guard Top	Double Underhook Pass	nogi
Closed Guard Top	Guard Break - Kneeling	gi
Closed Guard Top	Guard Break - Kneeling	nogi
Closed Guard Top	Guard Break - Standing	gi
Closed Guard Top	Guard Break - Standing	nogi
Closed Guard Top	Log Splitter	gi
Closed Guard Top	Log Splitter	nogi
Closed Guard Top	Posture in Guard	gi
Closed Guard Top	Posture in Guard	nogi
Collar Sleeve Guard	Armbar	gi
Collar Sleeve Guard	Back Take	gi
Collar Sleeve Guard	Collar Drag	gi
Collar Sleeve Guard	Collar Sleeve Retention	gi
Collar Sleeve Guard	De La Riva Transition	gi
